objectid,filename,title,format,format,filesize,creator,illustrations,illustrator,physical-format,date,date-is-approximate,subject,description,relevant-to-class,country-of-origin,current-location,rights,source,relation,language
mftfgs_01,mftfgs-01.pdf,Sea Monsters Unmasked & Sea Fables Explained,Text,PDF,13.9 mb,"Lee, Henry",yes,unknown,Book,1883,no,"Creative nonfiction; Mythology; Sea monsters; Ocean; Folklore; Kraken, Mermaids; Animals, mythical","Essays from a naturalist who narrates traditional accounts of sea monsters in order to disprove them with more recent marine knowledge. Includes explorations of the Kraken, the Great Sea Serpent, and mermaids.","ENGL:1200 ""The Interpretation of Literature""",England,"Gerstein Science Information Centre Stacks (Zool Mollusca L), University of Toronto Libraries, Toronto, ON, Canada",Not in Copyright,https://librarysearch.library.utoronto.ca/nde/fulldisplay?docid=alma991106655925406196&isFrbr=false&isHighlightedRecord=true&lang=en&vid=01UTORONTO_INST:UTORONTO_NDE&context=L,https://publicdomainreview.org/collection/sea-monsters-sea-fables/,eng
mftfgs_02,mftfgs-02.jpg,"The Mowing Devil: Or, Strange News out of Hartford-Shire",Image,JPG,15.0 mb,unknown,yes,unknown,Pamphlet,1678,no,Mythology; Crop circles; Demonology; Apparitions,Earliest known account of a crop circle. A labor dispute ends with a rich farmer telling a mower that the devil would mow his oats before he paid the mower's price; the farmer awakens the next morning to his crops unnaturally mowed.,"GRMN:2666 ""Pact with the Devil""",England,"Folger Shakespeare Library, Washington, D.C., United States","https://rightsstatements.org/page/NoC-US/1.0/, https://creativecommons.org/publicdomain/zero/1.0/ ",https://digitalcollections.folger.edu/img56978,https://publicdomainreview.org/collection/the-mowing-devil/,eng
mftfgs_03,mftfgs-03.jpg,Kuwana: The Story of the Sailor Tokuzō,Image,JPG,2.24 mb,"Utagawa, Kuniyoshi",,,Print,1845,yes,Ghost stories; Apparitions; Woodcuts; Folklore; Japan; Ghosts in art,A sailor named Kuwana Tukozo goes out to sea and encounters the Sea Monk (Umi Bozu) in a storm.,"JPNS:1506 ""Ghostly Japan"", ARTH:2250 ""Introduction to the Art of Japan"", PRNT:2610 ""Introduction to Printmaking""",Japan,"The Walters Art Museum, Baltimore, MD, United States",https://creativecommons.org/publicdomain/zero/1.0/,https://art.thewalters.org/object/95.585/,https://publicdomainreview.org/collection/the-sea-monk-ca-1845/,jpn
mftfgs_04,mftfgs-04.jpg,Yamauba and Kintaro,Image,JPG,3.16 mb,"Kitagawa, Utamaro",,,Print,1800,yes,Yōkai (Japanese folklore); Folklore; Demonology; Woodcuts; Japan; Motherhood,"A colored woodblock print of Yamauba, a kind of female yokai usually depicted as monstrous, feeding the infant Kintarō, a folk hero whom she is said to have raised.","JPNS:1506 ""Ghostly Japan"", ARTH:2250 ""Introduction to the Art of Japan"", PRNT:2610 ""Introduction to Printmaking""",Japan,,Free copyright,https://en.wikipedia.org/wiki/File:Yamanba_and_kintaro_sakazuki.jpg,https://publicdomainreview.org/collection/yamauba-and-kintaro/,jpn
mftfgs_05,mftfgs-05.pdf,The Book of Were-Wolves: Being an Account of a Terrible Superstition,Text,PDF,4.08 mb,"Baring-Gould, Sabine",no,,Book,1865,no,"Creative nonfiction; Werewolves; Wolves; Arcadia; Mythology, Norse; Folklore; Superstition","By tracing the origins of werewolves across multiple cultures, Baring-Gould argues that the werewolf is symbolic of the human instinct or longing we try (and fail) to fully repress in the name of civilizational progress.","ENGL:1200 ""The Interpretation of Literature""",England,,https://creativecommons.org/publicdomain/mark/1.0/,https://archive.org/details/thebookofwerewolvesbarin/page/n9/mode/2up,https://publicdomainreview.org/collection/the-book-of-were-wolves/,eng
mftfgs_06,mftfgs-06.pdf,Tanglewood Tales,Text,PDF,12.9 mb,"Hawthorne, Nathaniel",yes,"Sterrett, Virginia Frances",Book,1921,no,Mythology; Religion; Greek mythology; Gods; Folklore,"Adaptations of Greek myths designed for the young reader and matched with illustrations by Chicago-based artist Virginia Frances Sterrett. Contains the stories of Theseus and the Minotaur, the Pygmies, Cadmus, Circe, Persephone, and Jason and the Golden Fleece.","CLSA:1340, ""Magic in the Ancient World"", CLSA:2016: ""Classical Mythology""",United States,,Public domain in the USA,https://www.gutenberg.org/ebooks/51995,https://publicdomainreview.org/collection/nathaniel-hawthorne-s-tanglewood-tales-illustrated-by-virginia-frances-sterrett-1921/,eng
mftfgs_07,mftfgs-07.jpg,Ancient Mappe of Fairyland,Image,JPG,20.9 mb,"Sleigh, Bernard",,,Map,1920,yes,Geographical myths; Fairy tales; Mythology; Fairyland (Imaginary place); Literary landmarks--Maps,"A map, measuring nearly six feet long, which depicts many mythologies and fairy tales within the same landscape, called ""Fairyland.""","EDTL:5222 ""Create, Imagine, Play, Human Dev in Arts"", PRNT:2610 ""Introduction to Printmaking""",England,"Norman B. Leventhal Map & Education Center, Boston Public Library, Boston, MA, United States",No known copyright restrictions. No known restrictions on use.,https://collections.leventhalmap.org/search/commonwealth:3f463773q,https://publicdomainreview.org/collection/an-anciente-mappe-of-fairyland/,eng
mftfgs_08,mftfgs-08.pdf,The Laughing Prince: Jugoslav Folk and Fairy Tales,Text,PDF,11.3 mb,"Fillmore, Parker",yes,"Everen, Jay van",Book,1921,no,Fairy tales; Folklore--Yugoslavia; Fables,"A collection of fairy tales and fables from across South Slavic cultures, complete with illustration and decoration by Jay van Everen.","ENGL:1200 ""The Interpretation of Literature""",United States,"New York Public Library, NY, United States",Not in Copyright,https://archive.org/details/laughingprincebo00fill,https://publicdomainreview.org/collection/fillmore-the-laughing-prince/,eng
mftfgs_09,mftfgs-09-reduced.pdf,"Cabala, Spiegel Der Kunst Und Natur, In Alchymia",Image,PDF,7.65 mb,"Michelspacher, Stephan",,"Custos, Raphael",Book,1615,no,Alchemy; Zodiac; Religion; Sacraments; Astrology,"A book which meshes alchemy with religion and philosophy, using alchemical trinities called ""mirrors"" to help its readers better commune with God. Images shown here are from pages 22–29.","ARTH:1030 ""Themes in Global Art""",Germany,"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Berlin, Germany",https://creativecommons.org/publicdomain/mark/1.0/,https://digital-beta.staatsbibliothek-berlin.de/werkansicht?PPN=PPN776101943&PHYSID=PHYS_0005&DMDID=&view=overview-info,https://publicdomainreview.org/collection/cabala-spiegel/,ger
mftfgs_10,mftfgs-10.jpg,Livre de Thot // ou // Collection précieuse des tableaux de la Doctrine de Mercure dans laquelle se trouve le chemin royal de la vie humaine &c &c &c,Image,JPG,2.80 mb,"Basan, Pierre-François",,,Engraving,1789,yes,"Tarot; Occultism; Divination; Magic, Egyptian; Fortune-telling","An image of the 78 tarot cards used by Jean-Baptiste Alliette, otherwise known as Etteilla: the occultist who made significant contributions to prescribing tarot with the spiritual, astrological, and divinatory meanings it holds today. His tarot practices held particular sway as the French Revolution began to take shape.","HIST:3470 ""France from 1789 to Present""",France,Bibliothèque nationale de France,Public Domain,https://gallica.bnf.fr/ark:/12148/btv1b53167640p/f1.item,https://publicdomainreview.org/collection/etteilla-thot/,fre
